noise_dataset,noise_uid,noise_filename
dns5_fullband,0a8Xc_R_V80,0a8Xc_R_V80.wav
dns5_fullband,0nGZzZagGls,0nGZzZagGls.wav
dns5_fullband,0rEOa-gu4jk,0rEOa-gu4jk.wav
dns5_fullband,0s3WOsmwMWM,0s3WOsmwMWM.wav
dns5_fullband,0wCvRDYZYa0,0wCvRDYZYa0.wav
dns5_fullband,0xcBKwbIlU8,0xcBKwbIlU8.wav
dns5_fullband,1-XCcmkQK1U,1-XCcmkQK1U.wav
dns5_fullband,14pQOYj0D1s,14pQOYj0D1s.wav
dns5_fullband,1ASBUeNDXcA,1ASBUeNDXcA.wav
dns5_fullband,1BonlocdKno,1BonlocdKno.wav
dns5_fullband,1FwNCgnzA9k,1FwNCgnzA9k.wav
dns5_fullband,1Lne7Db_Fhc,1Lne7Db_Fhc.wav
dns5_fullband,1P8jE-Pub3c,1P8jE-Pub3c.wav
dns5_fullband,1XMVyJIHSEQ,1XMVyJIHSEQ.wav
dns5_fullband,1ci9EhneRNs,1ci9EhneRNs.wav
dns5_fullband,1erPfh8gyko,1erPfh8gyko.wav
dns5_fullband,1h_MggtPdjo,1h_MggtPdjo.wav
dns5_fullband,1psjiH9ICx4,1psjiH9ICx4.wav
dns5_fullband,20qHqiRChmc,20qHqiRChmc.wav
dns5_fullband,263sYZ1KrCc,263sYZ1KrCc.wav
dns5_fullband,2_P7nIGkhVk,2_P7nIGkhVk.wav
dns5_fullband,2do0S-yQvqg,2do0S-yQvqg.wav
dns5_fullband,2eGseKxcxpc,2eGseKxcxpc.wav
dns5_fullband,2qMiN3AUjmE,2qMiN3AUjmE.wav
dns5_fullband,2tJKsCiOTjY,2tJKsCiOTjY.wav
dns5_fullband,2wXaCz__sjY,2wXaCz__sjY.wav
dns5_fullband,3EAaJdzS-_o,3EAaJdzS-_o.wav
dns5_fullband,3T-CYGTF5JY,3T-CYGTF5JY.wav
dns5_fullband,3UOXB7f0NQs,3UOXB7f0NQs.wav
dns5_fullband,3UQIrjkLHng,3UQIrjkLHng.wav
dns5_fullband,3bSsY829lHg,3bSsY829lHg.wav
dns5_fullband,3k6tn3xFJs0,3k6tn3xFJs0.wav
dns5_fullband,3kcifJtWbJ4,3kcifJtWbJ4.wav
dns5_fullband,3r9j191TBfQ,3r9j191TBfQ.wav
dns5_fullband,3tou5guli40,3tou5guli40.wav
dns5_fullband,3tqliETnWOI,3tqliETnWOI.wav
dns5_fullband,435H0Ai36E4,435H0Ai36E4.wav
dns5_fullband,46G7GrIYptE,46G7GrIYptE.wav
dns5_fullband,4ATteEciMXY,4ATteEciMXY.wav
dns5_fullband,4BuTNAWrtms,4BuTNAWrtms.wav
dns5_fullband,4ZjxMOLCUWg,4ZjxMOLCUWg.wav
dns5_fullband,4_C20Dw7G_4,4_C20Dw7G_4.wav
dns5_fullband,4_YLq23urlU,4_YLq23urlU.wav
dns5_fullband,4chPzdmckbc,4chPzdmckbc.wav
dns5_fullband,4f-_Sx8pGQ0,4f-_Sx8pGQ0.wav
dns5_fullband,519EXjlqc0E,519EXjlqc0E.wav
dns5_fullband,541bE_SZe3E,541bE_SZe3E.wav
dns5_fullband,57P7J3drYQc,57P7J3drYQc.wav
dns5_fullband,57xCBeLH6Tc,57xCBeLH6Tc.wav
dns5_fullband,5AGb3R_h1-s,5AGb3R_h1-s.wav
dns5_fullband,5DjP-fZTYNQ,5DjP-fZTYNQ.wav
dns5_fullband,5IhpI5YAeOA,5IhpI5YAeOA.wav
dns5_fullband,5LfIPJbJBco,5LfIPJbJBco.wav
dns5_fullband,5O0B_X24CPc,5O0B_X24CPc.wav
dns5_fullband,5S5V4kSFFLk,5S5V4kSFFLk.wav
dns5_fullband,5Sawvexlnso,5Sawvexlnso.wav
dns5_fullband,5WUF269Y0yE,5WUF269Y0yE.wav
dns5_fullband,5XdTmqU_-YI,5XdTmqU_-YI.wav
dns5_fullband,5e_TRzVOHLo,5e_TRzVOHLo.wav
dns5_fullband,5llYLXZhOJE,5llYLXZhOJE.wav
dns5_fullband,5rPWHbbVN9s,5rPWHbbVN9s.wav
dns5_fullband,5uiKXNTt34g,5uiKXNTt34g.wav
dns5_fullband,69xylsC3uT8,69xylsC3uT8.wav
dns5_fullband,6hZ-6YHf3ok,6hZ-6YHf3ok.wav
dns5_fullband,7dXnncNtvp0,7dXnncNtvp0.wav
dns5_fullband,7fag_tv0y20,7fag_tv0y20.wav
dns5_fullband,7vRStYD8fCQ,7vRStYD8fCQ.wav
dns5_fullband,88Scqncznmo,88Scqncznmo.wav
fsd50k,fsd50k_366728,366728.wav
fsd50k,fsd50k_251542,251542.wav
fsd50k,fsd50k_187999,187999.wav
fsd50k,fsd50k_171468,171468.wav
fsd50k,fsd50k_171086,171086.wav
fsd50k,fsd50k_191016,191016.wav
freesound,594629,coughing_freesound_594629.wav
freesound,87796,coughing_freesound_87796.wav
freesound,125403,coughing_freesound_125403.wav
freesound,360890,coughing_freesound_360890.wav
freesound,425777,coughing_freesound_425777.wav
freesound,612856,dog_freesound_612856.wav
freesound,261286,dog_freesound_261286.wav
freesound,559435,dog_freesound_559435.wav
freesound,553189,dog_freesound_553189.wav
freesound,418156,dog_freesound_418156.wav
freesound,191953,door_freesound_191953.wav
freesound,529719,door_freesound_529719.wav
freesound,265483,eating_freesound_265483.wav
freesound,379753,fan_freesound_379753.wav
freesound,159761,fan_freesound_159761.wav
freesound,189988,fan_freesound_189988.wav
freesound,148906,fan_freesound_148906.wav
freesound,742838,fan_freesound_742838.wav
freesound,431842,fan_freesound_431842.wav
freesound,352806,fan_freesound_352806.wav
freesound,238967,fan_freesound_238967.wav
freesound,238963,fan_freesound_238963.wav
freesound,238961,fan_freesound_238961.wav
freesound,559199,fan_freesound_559199.wav
freesound,372548,fan_freesound_372548.wav
freesound,192241,fan_freesound_192241.wav
freesound,629318,fan_freesound_629318.wav
freesound,273620,fan_freesound_273620.wav
freesound,783837,fan_freesound_783837.wav
freesound,753541,fan_freesound_753541.wav
freesound,689406,fan_freesound_689406.wav
freesound,705148,fan_freesound_705148.wav
freesound,429396,fan_freesound_429396.wav
freesound,330271,fan_freesound_330271.wav
freesound,751315,fan_freesound_751315.wav
freesound,587617,fan_freesound_587617.wav
freesound,219489,fan_freesound_219489.wav
freesound,434693,fan_freesound_434693.wav
freesound,274776,fan_freesound_274776.wav
freesound,386307,impact_freesound_386307.wav
freesound,811301,impact_freesound_811301.wav
freesound,210048,impact_freesound_210048.wav
freesound,815452,impact_freesound_815452.wav
freesound,761341,keyboard typing_freesound_761341.wav
freesound,345054,office_freesound_345054.wav
freesound,232554,office_freesound_232554.wav
freesound,610053,office_freesound_610053.wav
freesound,348767,traffic_freesound_348767.wav
freesound,769152,traffic_freesound_769152.wav
freesound,733735,transport_freesound_733735.wav
freesound,210789,transport_freesound_210789.wav
freesound,724103,transport_freesound_724103.wav
freesound,567717,wind_freesound_567717.wav
freesound,570320,wind_freesound_570320.wav
freesound,402547,wind_freesound_402547.wav
freesound,341333,wind_freesound_341333.wav
freesound,380200,babble_freesound_380200.wav
freesound,764761,babble_freesound_764761.wav
freesound,443092,babble_freesound_443092.wav
freesound,244946,babble_freesound_244946.wav
freesound,244911,babble_freesound_244911.wav
freesound,671841,babble_freesound_671841.wav
freesound,642897,baby_freesound_642897.wav
freesound,684509,baby_freesound_684509.wav
freesound,474358,bird_freesound_474358.wav
freesound,507267,bird_freesound_507267.wav
freesound,802073,bird_freesound_802073.wav
freesound,798307,bird_freesound_798307.wav
freesound,802702,bird_freesound_802702.wav
freesound,519057,bird_freesound_519057.wav
freesound,258100,bird_freesound_258100.wav
freesound,453732,clapping_freesound_453732.wav
dns5_fullband,16QlUcOOfkA,16QlUcOOfkA.wav
dns5_fullband,-Q_nVD3fkIs,-Q_nVD3fkIs.wav
freesound,511687,dog_freesound_511687.wav
dns5_fullband,0YZfMauT22g,0YZfMauT22g.wav
freesound,480687,clapping_freesound_480687.wav
fsd50k,fsd50k_378331,378331.wav
freesound,345639,fan_freesound_345639.wav
dns5_fullband,0mhFsYWUTIQ,0mhFsYWUTIQ.wav
fsd50k,fsd50k_425667,425667.wav
dns5_fullband,-5bUWtaoJ7U,-5bUWtaoJ7U.wav
freesound,139977,fan_freesound_139977.wav
freesound,136441,TV_freesound_136441.wav
freesound,701692,fan_freesound_701692.wav
fma,fma_045055,045055.wav
dns5_fullband,42VoijrmFqQ,42VoijrmFqQ.wav
freesound,761557,fan_freesound_761557.wav
dns5_fullband,0yKEhrlQeM0,0yKEhrlQeM0.wav
dns5_fullband,0cYaWymNd4w,0cYaWymNd4w.wav
freesound,708609,coughing_freesound_708609.wav
freesound,154668,fan_freesound_154668.wav
freesound,799531,fan_freesound_799531.wav
dns5_fullband,4zbkVG8nJ0Y,4zbkVG8nJ0Y.wav
dns5_fullband,2ostuog9wxQ,2ostuog9wxQ.wav
freesound,397254,fan_freesound_397254.wav
freesound,644607,babble_freesound_644607.wav
fsd50k,fsd50k_408369,408369.wav
freesound,639708,fan_freesound_639708.wav
freesound,397156,fan_freesound_397156.wav
dns5_fullband,4e2tY67ml_I,4e2tY67ml_I.wav
dns5_fullband,5KPE5rK6jjU,5KPE5rK6jjU.wav
freesound,529031,wind_freesound_529031.wav
freesound,519056,bird_freesound_519056.wav
dns5_fullband,4Z_Gcy3h-RA,4Z_Gcy3h-RA.wav
dns5_fullband,5FOF4E9HvNA,5FOF4E9HvNA.wav
wham_noise_48k,file222_040800000_loc20_day1,file222_040800000_loc20_day1.wav
fsd50k,fsd50k_400653,400653.wav
dns5_fullband,-D_gWD3VjIM,-D_gWD3VjIM.wav
dns5_fullband,2UV8DWO8MKg,2UV8DWO8MKg.wav
fsd50k,fsd50k_45643,45643.wav
wham_noise_48k,file191_022080000_loc00_day1,file191_022080000_loc00_day1.wav
freesound,734313,keyboard typing_freesound_734313.wav
fma,fma_074048,074048.mp3
dns5_fullband,5Nr7ZX2MiUU,5Nr7ZX2MiUU.wav
dns5_fullband,57gwTfpgdik,57gwTfpgdik.wav
freesound,522618,fan_freesound_522618.wav
wham_noise_48k,file205_071040000_loc32_day1,file205_071040000_loc32_day1.wav
freesound,189986,fan_freesound_189986.wav
dns5_fullband,4aJX2PQ4j7Q,4aJX2PQ4j7Q.wav
freesound,750574,fan_freesound_750574.wav
fsd50k,fsd50k_102912,102912.wav
freesound,502464,coughing_freesound_502464.wav
freesound,479880,transport_freesound_479880.wav
wham_noise_48k,file217_000000000_loc21_day1,file217_000000000_loc21_day1.wav
freesound,480784,TV_freesound_480784.wav
dns5_fullband,4Acz-lwN5j4,4Acz-lwN5j4.wav
freesound,559958,office_freesound_559958.wav
freesound,496279,eating_freesound_496279.wav
freesound,553230,wind_freesound_553230.wav
fsd50k,fsd50k_48401,48401.wav
dns5_fullband,24Z6Jg75mHo,24Z6Jg75mHo.wav
freesound,189991,fan_freesound_189991.wav
freesound,717174,fan_freesound_717174.wav
dns5_fullband,0krZliEb9XE,0krZliEb9XE.wav
freesound,585510,transport_freesound_585510.wav
freesound,569029,baby_freesound_569029.wav
fsd50k,fsd50k_392251,392251.wav
dns5_fullband,6PrVODXm67o,6PrVODXm67o.wav
freesound,235913,dog_freesound_235913.wav
freesound,806782,clapping_freesound_806782.wav
fsd50k,fsd50k_147901,147901.wav
dns5_fullband,5H0DcNYihFk,5H0DcNYihFk.wav
dns5_fullband,1sjmFJzDG0o,1sjmFJzDG0o.wav
freesound,384407,traffic_freesound_384407.wav
fsd50k,fsd50k_370235,370235.wav
dns5_fullband,2LorpXnJpYw,2LorpXnJpYw.wav
freesound,613846,bird_freesound_613846.wav
dns5_fullband,5pWnOwojMGY,5pWnOwojMGY.wav
dns5_fullband,20VCrMzRGXw,20VCrMzRGXw.wav
dns5_fullband,21Z55sgzU18,21Z55sgzU18.wav
freesound,613973,wind_freesound_613973.wav
dns5_fullband,2ZmyggA9WJU,2ZmyggA9WJU.wav
fsd50k,fsd50k_270360,270360.wav
freesound,666755,transport_freesound_666755.wav
dns5_fullband,00F6NyiKdIk,00F6NyiKdIk.wav
dns5_fullband,10VPSu_3xo4,10VPSu_3xo4.wav
fsd50k,fsd50k_402298,402298.wav
dns5_fullband,3BBnrF_MCgU,3BBnrF_MCgU.wav
fsd50k,fsd50k_116346,116346.wav
dns5_fullband,53d29YBnY9w,53d29YBnY9w.wav
dns5_fullband,4KqLv-7Q7Q8,4KqLv-7Q7Q8.wav
dns5_fullband,11mLt06A-mA,11mLt06A-mA.wav
freesound,484303,fan_freesound_484303.wav
dns5_fullband,0JAGPDtKZ68,0JAGPDtKZ68.wav
fsd50k,fsd50k_392153,392153.wav
wham_noise_48k,file210_014880000_loc15_day1,file210_014880000_loc15_day1.wav
fsd50k,fsd50k_325767,325767.wav
freesound,330264,fan_freesound_330264.wav
dns5_fullband,2tXCYBl7yM0,2tXCYBl7yM0.wav
dns5_fullband,1ILecV8Q6Yw,1ILecV8Q6Yw.wav
freesound,361498,transport_freesound_361498.wav
dns5_fullband,84ZEuP39a70,84ZEuP39a70.wav
wham_noise_48k,file204_015840000_loc32_day1,file204_015840000_loc32_day1.wav
freesound,361144,TV_freesound_361144.wav
fma,fma_028101,028101.wav
dns5_fullband,1OLrfTnieME,1OLrfTnieME.wav
freesound,484369,bird_freesound_484369.wav
dns5_fullband,1EmvrOdCAL0,1EmvrOdCAL0.wav
dns5_fullband,822HElRsp8U,822HElRsp8U.wav
dns5_fullband,-v8F9YUEYQ8,-v8F9YUEYQ8.wav
fma,fma_029532,029532.mp3
wham_noise_48k,file194_018720000_loc33_day1,file194_018720000_loc33_day1.wav
fma,fma_034528,034528.mp3
dns5_fullband,-xtqOBHsC5U,-xtqOBHsC5U.wav
freesound,158564,TV_freesound_158564.wav
dns5_fullband,1SfUH34JwZk,1SfUH34JwZk.wav
dns5_fullband,5UG2FYF8XLM,5UG2FYF8XLM.wav
freesound,519485,wind_freesound_519485.wav
fsd50k,fsd50k_333084,333084.wav
freesound,484365,bird_freesound_484365.wav
freesound,189987,fan_freesound_189987.wav
dns5_fullband,-VgluqXLBs8,-VgluqXLBs8.wav
freesound,257899,door_freesound_257899.wav
dns5_fullband,5iDR6cOA3ns,5iDR6cOA3ns.wav
freesound,345638,fan_freesound_345638.wav
freesound,325845,transport_freesound_325845.wav
fsd50k,fsd50k_14742,14742.wav
fsd50k,fsd50k_34119,34119.wav
fsd50k,fsd50k_100476,100476.wav
freesound,501719,dog_freesound_501719.wav
wham_noise_48k,file193_000000000_loc00_day1,file193_000000000_loc00_day1.wav
fsd50k,fsd50k_165476,165476.wav
dns5_fullband,1sx7sm4lSkM,1sx7sm4lSkM.wav
dns5_fullband,0mbR-zCZndM,0mbR-zCZndM.wav
dns5_fullband,0-0UKKMKiVg,0-0UKKMKiVg.wav
dns5_fullband,1b58z2VV2Es,1b58z2VV2Es.wav
dns5_fullband,28WMzKS8Mvg,28WMzKS8Mvg.wav
dns5_fullband,10lpbBJKh0U,10lpbBJKh0U.wav
freesound,754582,baby_freesound_754582.wav
freesound,649692,fan_freesound_649692.wav
freesound,361552,clapping_freesound_361552.wav
freesound,475416,impact_freesound_475416.wav
dns5_fullband,2CNglKMVNtg,2CNglKMVNtg.wav
fsd50k,fsd50k_203830,203830.wav
dns5_fullband,7au3PJPNUe0,7au3PJPNUe0.wav
dns5_fullband,1MPs8HiHXxU,1MPs8HiHXxU.wav
freesound,219488,fan_freesound_219488.wav
fsd50k,fsd50k_347821,347821.wav
fsd50k,fsd50k_100772,100772.wav
freesound,615906,TV_freesound_615906.wav
freesound,348364,coughing_freesound_348364.wav
fsd50k,fsd50k_406958,406958.wav
fsd50k,fsd50k_388915,388915.wav
dns5_fullband,4U_AAtMel94,4U_AAtMel94.wav
freesound,792889,transport_freesound_792889.wav
fma,fma_131968,131968.wav
fsd50k,fsd50k_86150,86150.wav
dns5_fullband,6vvM8_RUyMc,6vvM8_RUyMc.wav
dns5_fullband,0RxqOTKPf3M,0RxqOTKPf3M.wav
freesound,675073,babble_freesound_675073.wav
dns5_fullband,2siyhxvZpWI,2siyhxvZpWI.wav
fsd50k,fsd50k_274117,274117.wav
dns5_fullband,6Ox2rL3JCbw,6Ox2rL3JCbw.wav
freesound,393977,babble_freesound_393977.wav
freesound,734314,keyboard typing_freesound_734314.wav
fsd50k,fsd50k_415378,415378.wav
dns5_fullband,-XQGRj-iuRk,-XQGRj-iuRk.wav
freesound,530440,fan_freesound_530440.wav
dns5_fullband,3u_IbZbli3A,3u_IbZbli3A.wav
dns5_fullband,-pRXxT0Nqys,-pRXxT0Nqys.wav
freesound,704393,fan_freesound_704393.wav
dns5_fullband,-WycrcrnNWY,-WycrcrnNWY.wav
freesound,158562,TV_freesound_158562.wav
dns5_fullband,2iNdzpHUHZ8,2iNdzpHUHZ8.wav
fma,fma_092011,092011.mp3
freesound,592446,fan_freesound_592446.wav
freesound,637329,fan_freesound_637329.wav
fsd50k,fsd50k_268525,268525.wav
dns5_fullband,2nS9YWFNjRg,2nS9YWFNjRg.wav
dns5_fullband,58PqXuYVn_k,58PqXuYVn_k.wav
dns5_fullband,-r7foRuzOuc,-r7foRuzOuc.wav
freesound,753274,fan_freesound_753274.wav
dns5_fullband,3Vnql2TQAuo,3Vnql2TQAuo.wav
freesound,372571,dog_freesound_372571.wav
freesound,642194,babble_freesound_642194.wav
freesound,510772,coughing_freesound_510772.wav
dns5_fullband,73nRkB05bo4,73nRkB05bo4.wav
dns5_fullband,4B2A21Vt8J8,4B2A21Vt8J8.wav
freesound,761335,keyboard typing_freesound_761335.wav
dns5_fullband,2wyKfkULY9s,2wyKfkULY9s.wav
freesound,407712,wind_freesound_407712.wav
fma,fma_030900,030900.wav
freesound,769157,traffic_freesound_769157.wav
fsd50k,fsd50k_77305,77305.wav
freesound,702180,fan_freesound_702180.wav
dns5_fullband,5tEVcDqUR9g,5tEVcDqUR9g.wav
dns5_fullband,4Jn5EfT0GWI,4Jn5EfT0GWI.wav
freesound,334682,door_freesound_334682.wav
dns5_fullband,49W2RHBwtRw,49W2RHBwtRw.wav
freesound,625224,fan_freesound_625224.wav
dns5_fullband,0N2tnE_vDOc,0N2tnE_vDOc.wav
