speech_dataset,speech_uid,speech_filename
dns5,book_00082_chp_0011_reader_01593_48_seg_0_seg1(2),book_00082_chp_0011_reader_01593_48_seg_0_seg1(2).wav
ears,p103_rainbow_05_highpitch,00536.wav
globe,S_010485_000000,000000.flac
ears,p105_rainbow_08_lowpitch,01266.wav
globe,S_009484_000002,000002.flac
ears,p105_freeform_speech_04,01127.wav
globe,S_016965_000001,000001.flac
globe,S_017114_000001,000001.flac
ears,p104_rainbow_06_loud,00901.wav
globe,S_016670_000000,000000.flac
vctk,p232_219_mic2,p232_219_mic2.flac
dns5,book_00081_chp_0018_reader_01595_16_seg_0_seg1(2),book_00081_chp_0018_reader_01595_16_seg_0_seg1(2).wav
ears,p103_freeform_speech_05,00446.wav
dns5,book_01415_chp_0017_reader_06507_43_seg_0_seg1(2),book_01415_chp_0017_reader_06507_43_seg_0_seg1(2).wav
ears,p102_emo_pride_sentences,00039.wav
ears,p103_rainbow_08_fast,00586.wav
vctk,s5_028_mic2,s5_028_mic2.flac
vctk,p232_393_mic2,p232_393_mic2.flac
libritts,237_126133_000021_000000,237_126133_000021_000000.wav
vctk,s5_198_mic2,s5_198_mic2.flac
globe,S_002640_000000,000000.flac
dns5,book_00375_chp_0004_reader_01282_5_seg_2_seg1,book_00375_chp_0004_reader_01282_5_seg_2_seg1.wav
libritts,5639_40744_000020_000001,5639_40744_000020_000001.wav
ears,p103_emo_neutral_sentences,00341.wav
dns5,book_00082_chp_0011_reader_01593_7_seg_2_seg1(2),book_00082_chp_0011_reader_01593_7_seg_2_seg1(2).wav
ears,p102_sentences_05_loud,00260.wav
globe,S_000911_000003,000003.flac
vctk,p232_303_mic2,p232_303_mic2.flac
globe,S_000845_000012,000012.flac
ears,p107_rainbow_07_whisper,01931.wav
ears,p107_freeform_speech_04,01805.wav
ears,p103_emo_relief_sentences,00355.wav
ears,p105_sentences_01_lowpitch,01282.wav
globe,S_020975_000007,000007.flac
libritts,121_121726_000034_000001,121_121726_000034_000001.wav
vctk,p257_023_mic2,p257_023_mic2.flac
globe,S_019164_000010,000010.flac
ears,p102_rainbow_05_fast,00193.wav
vctk,p232_250_mic2,p232_250_mic2.flac
ears,p102_sentences_13_lowpitch,00275.wav
ears,p104_rainbow_05_regular,00894.wav
globe,S_001672_000005,000005.flac
dns5,book_00171_chp_0010_reader_05715_11_seg_0_seg2(2),book_00171_chp_0010_reader_05715_11_seg_0_seg2(2).wav
globe,S_015383_000001,000001.flac
libritts,4970_29093_000044_000001,4970_29093_000044_000001.wav
libritts,6829_68771_000018_000003,6829_68771_000018_000003.wav
libritts,4970_29095_000032_000001,4970_29095_000032_000001.wav
vctk,s5_346_mic2,s5_346_mic2.flac
globe,S_020861_000003,000003.flac
vctk,p232_270_mic2,p232_270_mic2.flac
dns5,book_00162_chp_0035_reader_06647_4_seg_0_seg1,book_00162_chp_0035_reader_06647_4_seg_0_seg1.wav
ears,p105_rainbow_01_whisper,01174.wav
globe,S_001323_000016,000016.flac
globe,S_022541_000003,000003.flac
ears,p103_rainbow_01_slow,00479.wav
vctk,s5_021_mic2,s5_021_mic2.flac
ears,p104_rainbow_05_loud,00889.wav
globe,S_012769_000007,000007.flac
libritts,121_121726_000004_000003,121_121726_000004_000003.wav
vctk,p257_278_mic2,p257_278_mic2.flac
globe,S_007883_000002,000002.flac
ears,p106_sentences_09_fast,01673.wav
dns5,book_00028_chp_0031_reader_05303_36_seg_0_seg1,book_00028_chp_0031_reader_05303_36_seg_0_seg1.wav
vctk,s5_095_mic2,s5_095_mic2.flac
globe,S_020322_000006,000006.flac
ears,p106_rainbow_06_lowpitch,01598.wav
ears,p104_rainbow_05_fast,00886.wav
dns5,book_00082_chp_0011_reader_01593_7_seg_2_seg1,book_00082_chp_0011_reader_01593_7_seg_2_seg1.wav
dns5,book_01415_chp_0017_reader_06507_14_seg_0_seg2,book_01415_chp_0017_reader_06507_14_seg_0_seg2.wav
ears,p102_sentences_02_slow,00252.wav
ears,p104_rainbow_08_regular,00932.wav
globe,S_005704_000002,000002.flac
globe,S_004500_000000,000000.flac
dns5,book_00082_chp_0011_reader_01593_86_seg_0_seg1,book_00082_chp_0011_reader_01593_86_seg_0_seg1.wav
globe,S_013035_000002,000002.flac
vctk,p232_114_mic2,p232_114_mic2.flac
libritts,4446_2273_000002_000002,4446_2273_000002_000002.wav
ears,p104_emo_anger_sentences,00690.wav
vctk,p232_061_mic1,p232_061_mic1.flac
globe,S_011326_000002,000002.flac
dns5,book_00255_chp_0011_reader_04471_19_seg_1_seg1(2),book_00255_chp_0011_reader_04471_19_seg_1_seg1(2).wav
libritts,6829_68771_000012_000001,6829_68771_000012_000001.wav
dns5,book_00424_chp_0008_reader_04758_5_seg_0_seg1(2),book_00424_chp_0008_reader_04758_5_seg_0_seg1(2).wav
dns5,book_00375_chp_0004_reader_01282_47_seg_0_seg1,book_00375_chp_0004_reader_01282_47_seg_0_seg1.wav
ears,p105_rainbow_01_loud,01169.wav
vctk,p232_022_mic2,p232_022_mic2.flac
globe,S_013253_000006,000006.flac
ears,p102_rainbow_01_whisper,00170.wav
libritts,3570_5694_000014_000007,3570_5694_000014_000007.wav
globe,S_013546_000003,000003.flac
ears,p104_freeform_speech_04,00786.wav
vctk,p232_194_mic2,p232_194_mic2.flac
globe,S_011086_000002,000002.flac
globe,S_007094_000010,000010.flac
libritts,4446_2273_000019_000001,4446_2273_000019_000001.wav
globe,S_018696_000003,000003.flac
ears,p104_rainbow_08_lowpitch,00929.wav
dns5,book_01415_chp_0017_reader_06507_77_seg_2_seg1(2),book_01415_chp_0017_reader_06507_77_seg_2_seg1(2).wav
globe,S_019565_000004,000004.flac
libritts,4970_29095_000019_000001,4970_29095_000019_000001.wav
dns5,book_00082_chp_0011_reader_01593_87_seg_0_seg1,book_00082_chp_0011_reader_01593_87_seg_0_seg1.wav
ears,p104_rainbow_07_fast,00910.wav
ears,p106_sentences_05_loud,01663.wav
dns5,book_00082_chp_0011_reader_01593_34_seg_2_seg1(2),book_00082_chp_0011_reader_01593_34_seg_2_seg1(2).wav
ears,p103_rainbow_06_slow,00560.wav
libritts,237_134500_000041_000001,237_134500_000041_000001.wav
ears,p106_rainbow_07_loud,01607.wav
vctk,p232_254_mic2,p232_254_mic2.flac
globe,S_000845_000005,000005.flac
vctk,p232_009_mic1,p232_009_mic1.flac
globe,S_016290_000000,000000.flac
vctk,p257_012_mic2,p257_012_mic2.flac
ears,p102_rainbow_05_lowpitch,00197.wav
globe,S_007106_000003,000003.flac
ears,p105_emo_disgust_sentences,01030.wav
dns5,book_01415_chp_0017_reader_06507_48_seg_2_seg1,book_01415_chp_0017_reader_06507_48_seg_2_seg1.wav
vctk,s5_234_mic2,s5_234_mic2.flac
dns5,book_01415_chp_0017_reader_06507_11_seg_2_seg3(2),book_01415_chp_0017_reader_06507_11_seg_2_seg3(2).wav
ears,p102_sentences_05_loud,00261.wav
globe,S_017422_000003,000003.flac
dns5,book_00375_chp_0017_reader_05076_49_seg_0_seg1(2),book_00375_chp_0017_reader_05076_49_seg_0_seg1(2).wav
globe,S_015143_000002,000002.flac
globe,S_020912_000002,000002.flac
libritts,8555_284449_000045_000000,8555_284449_000045_000000.wav
dns5,book_00375_chp_0017_reader_05076_49_seg_0_seg1,book_00375_chp_0017_reader_05076_49_seg_0_seg1.wav
ears,p103_sentences_01_slow,00615.wav
vctk,p232_004_mic2,p232_004_mic2.flac
libritts,4446_2273_000001_000004,4446_2273_000001_000004.wav
ears,p106_rainbow_07_slow,01614.wav
globe,S_000736_000000,000000.flac
globe,S_014247_000006,000006.flac
globe,S_003304_000001,000001.flac
globe,S_000959_000004,000004.flac
dns5,book_01415_chp_0017_reader_06507_70_seg_0_seg1,book_01415_chp_0017_reader_06507_70_seg_0_seg1.wav
vctk,p232_129_mic2,p232_129_mic2.flac
globe,S_004190_000012,000012.flac
ears,p107_sentences_01_lowpitch,01951.wav
vctk,p232_013_mic2,p232_013_mic2.flac
globe,S_008964_000002,000002.flac
dns5,book_01415_chp_0017_reader_06507_68_seg_2_seg2(2),book_01415_chp_0017_reader_06507_68_seg_2_seg2(2).wav
globe,S_020512_000001,000001.flac
vctk,s5_167_mic2,s5_167_mic2.flac
ears,p103_rainbow_04_fast,00516.wav
libritts,4446_2273_000013_000003,4446_2273_000013_000003.wav
dns5,book_00424_chp_0008_reader_04758_35_seg_1_seg2(2),book_00424_chp_0008_reader_04758_35_seg_1_seg2(2).wav
globe,S_011288_000003,000003.flac
globe,S_015117_000007,000007.flac
libritts,4970_29095_000040_000002,4970_29095_000040_000002.wav
vctk,s5_083_mic2,s5_083_mic2.flac
libritts,4446_2273_000011_000003,4446_2273_000011_000003.wav
dns5,book_00028_chp_0038_reader_05919_52_seg_2_seg1(2),book_00028_chp_0038_reader_05919_52_seg_2_seg1(2).wav
dns5,book_00424_chp_0008_reader_04758_53_seg_1_seg1,book_00424_chp_0008_reader_04758_53_seg_1_seg1.wav
globe,S_007422_000002,000002.flac
vctk,p257_145_mic2,p257_145_mic2.flac
dns5,book_00162_chp_0028_reader_08756_22_seg_1_seg1(2),book_00162_chp_0028_reader_08756_22_seg_1_seg1(2).wav
globe,S_023505_000000,000000.flac
globe,S_007018_000002,000002.flac
dns5,book_01415_chp_0017_reader_06507_3_seg_1_seg1(2),book_01415_chp_0017_reader_06507_3_seg_1_seg1(2).wav
vctk,p232_377_mic2,p232_377_mic2.flac
ears,p107_rainbow_03_regular,01878.wav
dns5,book_00082_chp_0011_reader_01593_8_seg_0_seg1(2),book_00082_chp_0011_reader_01593_8_seg_0_seg1(2).wav
dns5,book_00166_chp_0025_reader_00732_0_seg_1_seg1,book_00166_chp_0025_reader_00732_0_seg_1_seg1.wav
ears,p103_emo_cuteness_sentences,00310.wav
ears,p104_rainbow_06_lowpitch,00902.wav
dns5,book_00082_chp_0011_reader_01593_5_seg_2_seg1,book_00082_chp_0011_reader_01593_5_seg_2_seg1.wav
globe,S_013115_000001,000001.flac
ears,p104_rainbow_05_highpitch,00888.wav
globe,S_022525_000002,000002.flac
globe,S_023295_000000,000000.flac
globe,S_012721_000003,000003.flac
vctk,p257_009_mic2,p257_009_mic2.flac
ears,p105_rainbow_08_regular,01270.wav
vctk,s5_226_mic2,s5_226_mic2.flac
ears,p103_rainbow_06_whisper,00565.wav
ears,p106_sentences_02_highpitch,01648.wav
dns5,book_00171_chp_0010_reader_05715_58_seg_2_seg2(2),book_00171_chp_0010_reader_05715_58_seg_2_seg2(2).wav
libritts,8555_284447_000033_000002,8555_284447_000033_000002.wav
dns5,book_01415_chp_0017_reader_06507_4_seg_0_seg1(2),book_01415_chp_0017_reader_06507_4_seg_0_seg1(2).wav
dns5,book_00166_chp_0026_reader_01339_28_seg_0_seg1,book_00166_chp_0026_reader_01339_28_seg_0_seg1.wav
dns5,book_00082_chp_0011_reader_01593_72_seg_1_seg1,book_00082_chp_0011_reader_01593_72_seg_1_seg1.wav
dns5,book_00166_chp_0025_reader_00732_3_seg_1_seg2(2),book_00166_chp_0025_reader_00732_3_seg_1_seg2(2).wav
vctk,p257_279_mic2,p257_279_mic2.flac
vctk,p232_194_mic1,p232_194_mic1.flac
libritts,121_127105_000024_000002,121_127105_000024_000002.wav
dns5,book_01415_chp_0017_reader_06507_11_seg_2_seg2,book_01415_chp_0017_reader_06507_11_seg_2_seg2.wav
vctk,p232_347_mic2,p232_347_mic2.flac
dns5,book_00375_chp_0004_reader_01282_44_seg_2_seg1(2),book_00375_chp_0004_reader_01282_44_seg_2_seg1(2).wav
globe,S_013923_000000,000000.flac
ears,p107_rainbow_03_fast,01872.wav
ears,p103_freeform_speech_04,00419.wav
vctk,p232_412_mic2,p232_412_mic2.flac
globe,S_020975_000003,000003.flac
dns5,book_00028_chp_0038_reader_05919_48_seg_2_seg1(2),book_00028_chp_0038_reader_05919_48_seg_2_seg1(2).wav
libritts,6829_68771_000010_000004,6829_68771_000010_000004.wav
dns5,book_00028_chp_0038_reader_05919_52_seg_2_seg1,book_00028_chp_0038_reader_05919_52_seg_2_seg1.wav
vctk,s5_253_mic2,s5_253_mic2.flac
globe,S_006954_000004,000004.flac
ears,p107_emo_adoration_sentences,01703.wav
dns5,book_00255_chp_0011_reader_04471_19_seg_1_seg1,book_00255_chp_0011_reader_04471_19_seg_1_seg1.wav
dns5,book_00130_chp_0007_reader_11203_1_seg_2_seg1,book_00130_chp_0007_reader_11203_1_seg_2_seg1.wav
globe,S_023372_000000,000000.flac
dns5,book_01415_chp_0017_reader_06507_33_seg_0_seg1(2),book_01415_chp_0017_reader_06507_33_seg_0_seg1(2).wav
ears,p106_rainbow_01_highpitch,01536.wav
vctk,s5_366_mic2,s5_366_mic2.flac
libritts,6829_68771_000015_000002,6829_68771_000015_000002.wav
ears,p106_emo_interest_sentences,01400.wav
ears,p103_emo_contentment_sentences,00308.wav
ears,p103_sentences_03_whisper,00637.wav
globe,S_021435_000003,000003.flac
libritts,7127_75947_000032_000000,7127_75947_000032_000000.wav
vctk,p232_235_mic2,p232_235_mic2.flac
dns5,book_01415_chp_0017_reader_06507_6_seg_2_seg1,book_01415_chp_0017_reader_06507_6_seg_2_seg1.wav
ears,p103_rainbow_03_loud,00501.wav
ears,p103_freeform_speech_01,00365.wav
dns5,book_00375_chp_0004_reader_01282_39_seg_2_seg1(2),book_00375_chp_0004_reader_01282_39_seg_2_seg1(2).wav
ears,p104_sentences_18_regular,00995.wav
dns5,book_00162_chp_0035_reader_06647_11_seg_2_seg1(2),book_00162_chp_0035_reader_06647_11_seg_2_seg1(2).wav
globe,S_019347_000008,000008.flac
vctk,s5_185_mic2,s5_185_mic2.flac
vctk,s5_009_mic2,s5_009_mic2.flac
libritts,4970_29095_000020_000001,4970_29095_000020_000001.wav
ears,p106_emo_anger_freeform,01363.wav
vctk,p232_099_mic2,p232_099_mic2.flac
ears,p103_sentences_04_whisper,00640.wav
ears,p107_rainbow_05_regular,01905.wav
globe,S_006957_000011,000011.flac
globe,S_015863_000002,000002.flac
vctk,p232_206_mic2,p232_206_mic2.flac
ears,p104_rainbow_08_highpitch,00926.wav
globe,S_015800_000002,000002.flac
ears,p106_rainbow_05_lowpitch,01587.wav
vctk,p232_237_mic1,p232_237_mic1.flac
globe,S_009653_000001,000001.flac
dns5,book_00082_chp_0011_reader_01593_44_seg_0_seg1(2),book_00082_chp_0011_reader_01593_44_seg_0_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_72_seg_0_seg1(2),book_01415_chp_0017_reader_06507_72_seg_0_seg1(2).wav
globe,S_003392_000001,000001.flac
libritts,6829_68771_000010_000008,6829_68771_000010_000008.wav
libritts,4446_2273_000041_000001,4446_2273_000041_000001.wav
globe,S_000253_000003,000003.flac
ears,p105_rainbow_08_loud,01265.wav
ears,p104_rainbow_01_slow,00843.wav
globe,S_012374_000003,000003.flac
globe,S_008437_000000,000000.flac
globe,S_011286_000000,000000.flac
dns5,book_00082_chp_0011_reader_01593_58_seg_0_seg1,book_00082_chp_0011_reader_01593_58_seg_0_seg1.wav
globe,S_007845_000007,000007.flac
globe,S_020053_000000,000000.flac
vctk,p232_014_mic2,p232_014_mic2.flac
ears,p105_sentences_01_regular,01285.wav
libritts,4970_29095_000003_000000,4970_29095_000003_000000.wav
dns5,book_00082_chp_0011_reader_01593_56_seg_2_seg1,book_00082_chp_0011_reader_01593_56_seg_2_seg1.wav
globe,S_019195_000001,000001.flac
dns5,book_00082_chp_0011_reader_01593_71_seg_1_seg1(2),book_00082_chp_0011_reader_01593_71_seg_1_seg1(2).wav
globe,S_006225_000008,000008.flac
dns5,book_00028_chp_0038_reader_05919_4_seg_0_seg1(2),book_00028_chp_0038_reader_05919_4_seg_0_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_55_seg_2_seg1,book_01415_chp_0017_reader_06507_55_seg_2_seg1.wav
libritts,4446_2273_000010_000000,4446_2273_000010_000000.wav
ears,p104_freeform_speech_04,00791.wav
dns5,book_00424_chp_0008_reader_04758_46_seg_1_seg1,book_00424_chp_0008_reader_04758_46_seg_1_seg1.wav
dns5,book_00162_chp_0035_reader_06647_4_seg_0_seg1(2),book_00162_chp_0035_reader_06647_4_seg_0_seg1(2).wav
dns5,book_00081_chp_0018_reader_01595_52_seg_1_seg1(2),book_00081_chp_0018_reader_01595_52_seg_1_seg1(2).wav
ears,p105_sentences_02_highpitch,01292.wav
vctk,p232_123_mic2,p232_123_mic2.flac
vctk,p232_380_mic1,p232_380_mic1.flac
libritts,4446_2273_000034_000002,4446_2273_000034_000002.wav
ears,p106_sentences_07_slow,01669.wav
dns5,book_00082_chp_0011_reader_01593_18_seg_2_seg2,book_00082_chp_0011_reader_01593_18_seg_2_seg2.wav
dns5,book_00082_chp_0011_reader_01593_34_seg_2_seg2(2),book_00082_chp_0011_reader_01593_34_seg_2_seg2(2).wav
vctk,p232_021_mic2,p232_021_mic2.flac
globe,S_018696_000000,000000.flac
dns5,book_00162_chp_0028_reader_08756_0_seg_1_seg1,book_00162_chp_0028_reader_08756_0_seg_1_seg1.wav
dns5,book_00166_chp_0025_reader_00732_0_seg_2_seg2(2),book_00166_chp_0025_reader_00732_0_seg_2_seg2(2).wav
ears,p105_sentences_02_lowpitch,01296.wav
ears,p102_freeform_speech_02,00079.wav
ears,p103_sentences_01_highpitch,00608.wav
vctk,s5_055_mic2,s5_055_mic2.flac
dns5,book_00028_chp_0038_reader_05919_24_seg_0_seg1(2),book_00028_chp_0038_reader_05919_24_seg_0_seg1(2).wav
globe,S_005733_000002,000002.flac
vctk,p257_088_mic2,p257_088_mic2.flac
libritts,4970_29093_000044_000002,4970_29093_000044_000002.wav
dns5,book_00166_chp_0026_reader_01339_24_seg_1_seg1,book_00166_chp_0026_reader_01339_24_seg_1_seg1.wav
vctk,p232_227_mic2,p232_227_mic2.flac
dns5,book_00162_chp_0028_reader_08756_22_seg_2_seg1(2),book_00162_chp_0028_reader_08756_22_seg_2_seg1(2).wav
dns5,book_00162_chp_0035_reader_06647_7_seg_0_seg1,book_00162_chp_0035_reader_06647_7_seg_0_seg1.wav
dns5,book_00082_chp_0011_reader_01593_45_seg_2_seg1,book_00082_chp_0011_reader_01593_45_seg_2_seg1.wav
globe,S_011195_000001,000001.flac
dns5,book_00375_chp_0004_reader_01282_2_seg_0_seg1,book_00375_chp_0004_reader_01282_2_seg_0_seg1.wav
vctk,s5_311_mic2,s5_311_mic2.flac
globe,S_007811_000000,000000.flac
dns5,book_00166_chp_0025_reader_00732_22_seg_0_seg2,book_00166_chp_0025_reader_00732_22_seg_0_seg2.wav
dns5,book_00384_chp_0022_reader_07500_23_seg_2_seg1(2),book_00384_chp_0022_reader_07500_23_seg_2_seg1(2).wav
libritts,6829_68771_000011_000002,6829_68771_000011_000002.wav
globe,S_004520_000000,000000.flac
globe,S_023461_000000,000000.flac
ears,p104_sentences_06_loud,00970.wav
ears,p104_sentences_01_lowpitch,00944.wav
globe,S_007244_000001,000001.flac
dns5,book_01415_chp_0017_reader_06507_4_seg_2_seg2(2),book_01415_chp_0017_reader_06507_4_seg_2_seg2(2).wav
dns5,book_00162_chp_0028_reader_08756_22_seg_1_seg1,book_00162_chp_0028_reader_08756_22_seg_1_seg1.wav
dns5,book_00166_chp_0022_reader_09309_3_seg_0_seg1(2),book_00166_chp_0022_reader_09309_3_seg_0_seg1(2).wav
libritts,6829_68771_000010_000000,6829_68771_000010_000000.wav
dns5,book_00166_chp_0026_reader_01339_8_seg_1_seg1,book_00166_chp_0026_reader_01339_8_seg_1_seg1.wav
globe,S_005161_000004,000004.flac
ears,p106_sentences_01_fast,01632.wav
libritts,237_134500_000022_000001,237_134500_000022_000001.wav
vctk,s5_202_mic2,s5_202_mic2.flac
dns5,book_00028_chp_0038_reader_05919_28_seg_1_seg1(2),book_00028_chp_0038_reader_05919_28_seg_1_seg1(2).wav
ears,p105_rainbow_02_fast,01175.wav
ears,p102_rainbow_06_slow,00208.wav
ears,p105_rainbow_06_loud,01234.wav
globe,S_009653_000008,000008.flac
ears,p104_rainbow_07_whisper,00922.wav
globe,S_019941_000004,000004.flac
ears,p102_sentences_07_slow,00265.wav
