noise_dataset,noise_uid,noise_filename
fma,fma_133849,133849.mp3
fma,fma_135228,135228.wav
fma,fma_136887,136887.mp3
fma,fma_144236,144236.mp3
fma,fma_152546,152546.wav
wham_noise_48k,file194_025440000_loc33_day1,file194_025440000_loc33_day1.wav
wham_noise_48k,file194_031680000_loc33_day1,file194_031680000_loc33_day1.wav
wham_noise_48k,file194_045600000_loc33_day1,file194_045600000_loc33_day1.wav
wham_noise_48k,file196_009600000_loc33_day1,file196_009600000_loc33_day1.wav
wham_noise_48k,file196_036960000_loc33_day1,file196_036960000_loc33_day1.wav
wham_noise_48k,file200_000000000_loc03_day1,file200_000000000_loc03_day1.wav
wham_noise_48k,file204_041280000_loc32_day1,file204_041280000_loc32_day1.wav
wham_noise_48k,file205_015360000_loc32_day1,file205_015360000_loc32_day1.wav
wham_noise_48k,file205_031200000_loc32_day1,file205_031200000_loc32_day1.wav
wham_noise_48k,file205_111360000_loc32_day1,file205_111360000_loc32_day1.wav
wham_noise_48k,file207_000000000_loc14_day1,file207_000000000_loc14_day1.wav
wham_noise_48k,file207_002880000_loc14_day1,file207_002880000_loc14_day1.wav
wham_noise_48k,file212_000000000_loc15_day2,file212_000000000_loc15_day2.wav
wham_noise_48k,file213_014880000_loc15_day2,file213_014880000_loc15_day2.wav
wham_noise_48k,file218_000000000_loc21_day1,file218_000000000_loc21_day1.wav
wham_noise_48k,file221_000000000_loc20_day1,file221_000000000_loc20_day1.wav
wham_noise_48k,file222_040800000_loc20_day1,file222_040800000_loc20_day1.wav
dns5_fullband,-2C9ZpNhIvg,-2C9ZpNhIvg.wav
dns5_fullband,-2O81UETcwY,-2O81UETcwY.wav
dns5_fullband,-3G-bs5JaW8,-3G-bs5JaW8.wav
dns5_fullband,-3dayQzhGpw,-3dayQzhGpw.wav
dns5_fullband,-4cbFBwZMSw,-4cbFBwZMSw.wav
dns5_fullband,-5IVOmpTVOM,-5IVOmpTVOM.wav
dns5_fullband,-6Krp3T1RHI,-6Krp3T1RHI.wav
dns5_fullband,-9df2qdbIJM,-9df2qdbIJM.wav
dns5_fullband,-E13UQ4kP9Q,-E13UQ4kP9Q.wav
dns5_fullband,-FD8hQshnFo,-FD8hQshnFo.wav
dns5_fullband,-MmobZaXQc8,-MmobZaXQc8.wav
dns5_fullband,-Mo_okgG5q0,-Mo_okgG5q0.wav
dns5_fullband,-OIY3tRRGwg,-OIY3tRRGwg.wav
dns5_fullband,-OrSYfdmkxU,-OrSYfdmkxU.wav
dns5_fullband,-Q_nVD3fkIs,-Q_nVD3fkIs.wav
dns5_fullband,-S-IMRsE4vw,-S-IMRsE4vw.wav
dns5_fullband,-U4LYa47FUU,-U4LYa47FUU.wav
dns5_fullband,-VLXILB1zkU,-VLXILB1zkU.wav
dns5_fullband,-WPI0qzLuo8,-WPI0qzLuo8.wav
dns5_fullband,-ZDcRG-vKsg,-ZDcRG-vKsg.wav
dns5_fullband,-aUzd1El1Mk,-aUzd1El1Mk.wav
dns5_fullband,-ebNEpc04dA,-ebNEpc04dA.wav
dns5_fullband,-gKEX6pWgFI,-gKEX6pWgFI.wav
dns5_fullband,-ggfBaONU2Y,-ggfBaONU2Y.wav
dns5_fullband,-grsofmJc8M,-grsofmJc8M.wav
dns5_fullband,-h3wUlV07d4,-h3wUlV07d4.wav
dns5_fullband,-ibrw-pTMUA,-ibrw-pTMUA.wav
dns5_fullband,-jI9ZoR74-I,-jI9ZoR74-I.wav
dns5_fullband,-lDNmoY3hGk,-lDNmoY3hGk.wav
dns5_fullband,-p8C6AXVklY,-p8C6AXVklY.wav
dns5_fullband,-pWLskzlnnE,-pWLskzlnnE.wav
dns5_fullband,-qPvcsaJD9U,-qPvcsaJD9U.wav
dns5_fullband,-rdFpXasUGc,-rdFpXasUGc.wav
dns5_fullband,-s2G3Kto0Gw,-s2G3Kto0Gw.wav
dns5_fullband,-t478yabOQw,-t478yabOQw.wav
dns5_fullband,-v8F9YUEYQ8,-v8F9YUEYQ8.wav
dns5_fullband,-vG9OMJhz58,-vG9OMJhz58.wav
dns5_fullband,01xfi2fGKkg,01xfi2fGKkg.wav
dns5_fullband,0292kQJnKos,0292kQJnKos.wav
dns5_fullband,02B8szoi8-Q,02B8szoi8-Q.wav
dns5_fullband,02sD1KJeoGA,02sD1KJeoGA.wav
dns5_fullband,03W1CWq5nz4,03W1CWq5nz4.wav
dns5_fullband,03bK3wLL2-Q,03bK3wLL2-Q.wav
dns5_fullband,06aiPrplSP4,06aiPrplSP4.wav
dns5_fullband,0BaMj-LMg1E,0BaMj-LMg1E.wav
dns5_fullband,0CMjmud6fp4,0CMjmud6fp4.wav
dns5_fullband,0Fc42_i3G80,0Fc42_i3G80.wav
dns5_fullband,0GLQBbwIQUA,0GLQBbwIQUA.wav
dns5_fullband,0LWim2o7Afo,0LWim2o7Afo.wav
dns5_fullband,0LrTnI-BYSI,0LrTnI-BYSI.wav
dns5_fullband,0NU73oaDVBE,0NU73oaDVBE.wav
dns5_fullband,0OeH3S7C2pg,0OeH3S7C2pg.wav
dns5_fullband,0S2pQ8_7qJE,0S2pQ8_7qJE.wav
dns5_fullband,0T4gZQwzyKY,0T4gZQwzyKY.wav
dns5_fullband,0Ts6nHbGay0,0Ts6nHbGay0.wav
dns5_fullband,0a8acU2Svn8,0a8acU2Svn8.wav
dns5_fullband,0c2GLBnPTEc,0c2GLBnPTEc.wav
dns5_fullband,0iO44OTCyac,0iO44OTCyac.wav
dns5_fullband,0ls9KaQJAs0,0ls9KaQJAs0.wav
dns5_fullband,0ma2BvnQn2o,0ma2BvnQn2o.wav
dns5_fullband,0o1COy6zVh4,0o1COy6zVh4.wav
dns5_fullband,0sDQRjQ1fcg,0sDQRjQ1fcg.wav
dns5_fullband,0shERpoO5Ls,0shERpoO5Ls.wav
dns5_fullband,0vXiWMVG0Rk,0vXiWMVG0Rk.wav
dns5_fullband,0w3VPPrHZ7g,0w3VPPrHZ7g.wav
dns5_fullband,0xEK-2vj9Xo,0xEK-2vj9Xo.wav
dns5_fullband,1-0zDa50ZPA,1-0zDa50ZPA.wav
dns5_fullband,1-XCcmkQK1U,1-XCcmkQK1U.wav
dns5_fullband,10VPSu_3xo4,10VPSu_3xo4.wav
dns5_fullband,11k0aBlo2Wo,11k0aBlo2Wo.wav
dns5_fullband,16QlUcOOfkA,16QlUcOOfkA.wav
dns5_fullband,17tR5NBVT1w,17tR5NBVT1w.wav
dns5_fullband,187cVfWpf6Q,187cVfWpf6Q.wav
dns5_fullband,18ptmO9LoUw,18ptmO9LoUw.wav
dns5_fullband,1BZUSqhKWJg,1BZUSqhKWJg.wav
dns5_fullband,1BsElpyyp8w,1BsElpyyp8w.wav
dns5_fullband,1Ck509j2l0U,1Ck509j2l0U.wav
dns5_fullband,1Dcd6b06ZgE,1Dcd6b06ZgE.wav
dns5_fullband,1DyKpEk5nhg,1DyKpEk5nhg.wav
dns5_fullband,1H2XD5lUp8w,1H2XD5lUp8w.wav
dns5_fullband,1IVpDay08co,1IVpDay08co.wav
dns5_fullband,1JYkgblklN8,1JYkgblklN8.wav
dns5_fullband,1LAknnlMGEA,1LAknnlMGEA.wav
dns5_fullband,1OASgq4u34Q,1OASgq4u34Q.wav
dns5_fullband,1P35FMSa7sM,1P35FMSa7sM.wav
dns5_fullband,1Q2KE92L738,1Q2KE92L738.wav
dns5_fullband,1R4Y5o8bED0,1R4Y5o8bED0.wav
dns5_fullband,1SbLZsvGL9w,1SbLZsvGL9w.wav
dns5_fullband,1VPLhdQgQyE,1VPLhdQgQyE.wav
dns5_fullband,1WKYn3rKWWQ,1WKYn3rKWWQ.wav
dns5_fullband,1Y4HWY6DHnU,1Y4HWY6DHnU.wav
dns5_fullband,1YMVwkVY-Es,1YMVwkVY-Es.wav
dns5_fullband,1_OHQ6kMlg8,1_OHQ6kMlg8.wav
dns5_fullband,1aPjFKOz1W4,1aPjFKOz1W4.wav
dns5_fullband,1dciBj0KHoc,1dciBj0KHoc.wav
dns5_fullband,1dgbeooM0Lg,1dgbeooM0Lg.wav
dns5_fullband,1dx4NNQwG0o,1dx4NNQwG0o.wav
dns5_fullband,1eYpXSDJNPA,1eYpXSDJNPA.wav
dns5_fullband,1eyfMZ-Ea20,1eyfMZ-Ea20.wav
dns5_fullband,1fNMhq36wvM,1fNMhq36wvM.wav
dns5_fullband,1frJ0OF5nMc,1frJ0OF5nMc.wav
dns5_fullband,1hOz9e9JAQA,1hOz9e9JAQA.wav
dns5_fullband,1j1duoxdxBg,1j1duoxdxBg.wav
dns5_fullband,1lpkw4kI-Ks,1lpkw4kI-Ks.wav
dns5_fullband,1pBEHxHBhts,1pBEHxHBhts.wav
dns5_fullband,1srd2XK39kQ,1srd2XK39kQ.wav
dns5_fullband,1y2nPnpYUmc,1y2nPnpYUmc.wav
dns5_fullband,2-34dkJQ0bU,2-34dkJQ0bU.wav
dns5_fullband,25v3SaQ-A6Q,25v3SaQ-A6Q.wav
dns5_fullband,265xfsixFCo,265xfsixFCo.wav
dns5_fullband,27FwPto59h4,27FwPto59h4.wav
dns5_fullband,28nsX8pg7S0,28nsX8pg7S0.wav
dns5_fullband,28zIp-jCBXc,28zIp-jCBXc.wav
dns5_fullband,29Tih31thk8,29Tih31thk8.wav
dns5_fullband,29pgvFoFsI0,29pgvFoFsI0.wav
dns5_fullband,29udrcT9xtA,29udrcT9xtA.wav
dns5_fullband,2BI0r9Ow4d0,2BI0r9Ow4d0.wav
dns5_fullband,2BL7MD7Ww-k,2BL7MD7Ww-k.wav
dns5_fullband,2Mszz6T7DbQ,2Mszz6T7DbQ.wav
dns5_fullband,2QTH4_WQlgg,2QTH4_WQlgg.wav
dns5_fullband,2T90bxZ-AGo,2T90bxZ-AGo.wav
dns5_fullband,2WMjBJz7iyQ,2WMjBJz7iyQ.wav
dns5_fullband,2WQfzHMdCPQ,2WQfzHMdCPQ.wav
dns5_fullband,2Wj2BDTChxQ,2Wj2BDTChxQ.wav
dns5_fullband,2WkzPxRuio8,2WkzPxRuio8.wav
dns5_fullband,2WqNagPStkI,2WqNagPStkI.wav
dns5_fullband,2ZiYJAIfCV0,2ZiYJAIfCV0.wav
dns5_fullband,2_NDQLacW2w,2_NDQLacW2w.wav
dns5_fullband,2b-tBDoQN2M,2b-tBDoQN2M.wav
dns5_fullband,2hE1d80ljUE,2hE1d80ljUE.wav
dns5_fullband,2jsvztYe9mk,2jsvztYe9mk.wav
dns5_fullband,2kuDdm983uY,2kuDdm983uY.wav
dns5_fullband,2lxSYL_Mb-A,2lxSYL_Mb-A.wav
dns5_fullband,2siyhxvZpWI,2siyhxvZpWI.wav
dns5_fullband,2vQ-f5_MBtg,2vQ-f5_MBtg.wav
dns5_fullband,2wWs7MLxbTk,2wWs7MLxbTk.wav
dns5_fullband,2yzeLDPByNM,2yzeLDPByNM.wav
dns5_fullband,3-PlM5X9E4k,3-PlM5X9E4k.wav
dns5_fullband,33yCB-uLzAU,33yCB-uLzAU.wav
dns5_fullband,341ElZK1DVM,341ElZK1DVM.wav
dns5_fullband,34JsVa7oJkc,34JsVa7oJkc.wav
dns5_fullband,35ZTXtUDYBE,35ZTXtUDYBE.wav
dns5_fullband,36vbgLgd4t8,36vbgLgd4t8.wav
dns5_fullband,3Ar7ThL0WGk,3Ar7ThL0WGk.wav
dns5_fullband,3BBnrF_MCgU,3BBnrF_MCgU.wav
dns5_fullband,3EM4ygQopDI,3EM4ygQopDI.wav
dns5_fullband,3FwFwtOcB2o,3FwFwtOcB2o.wav
dns5_fullband,3IpFS8DpZ8o,3IpFS8DpZ8o.wav
dns5_fullband,3LLOoW15ZnY,3LLOoW15ZnY.wav
dns5_fullband,3RABCekbY1Q,3RABCekbY1Q.wav
dns5_fullband,3SaJ21bI1Ws,3SaJ21bI1Ws.wav
dns5_fullband,3UOXB7f0NQs,3UOXB7f0NQs.wav
dns5_fullband,3VUEqSpFZu0,3VUEqSpFZu0.wav
dns5_fullband,3al8YHHE1-o,3al8YHHE1-o.wav
dns5_fullband,3etbftLOa-c,3etbftLOa-c.wav
dns5_fullband,3h1QAlgS5LU,3h1QAlgS5LU.wav
dns5_fullband,3lY0mff-lxQ,3lY0mff-lxQ.wav
dns5_fullband,3mIBWUMWrwA,3mIBWUMWrwA.wav
dns5_fullband,3mt11BuP5dw,3mt11BuP5dw.wav
dns5_fullband,3pc-enlLuPo,3pc-enlLuPo.wav
dns5_fullband,3r1vIjYvDZs,3r1vIjYvDZs.wav
dns5_fullband,3rz0yKQ_5aQ,3rz0yKQ_5aQ.wav
dns5_fullband,3vWNxg-HE-c,3vWNxg-HE-c.wav
dns5_fullband,3xNmSDF-ehk,3xNmSDF-ehk.wav
dns5_fullband,3xX7yE_D8qs,3xX7yE_D8qs.wav
dns5_fullband,3xeuotzBk9s,3xeuotzBk9s.wav
dns5_fullband,3yZpk-NzcQo,3yZpk-NzcQo.wav
dns5_fullband,3yr4d97kYdM,3yr4d97kYdM.wav
dns5_fullband,42RHggWOjaQ,42RHggWOjaQ.wav
dns5_fullband,435H0Ai36E4,435H0Ai36E4.wav
dns5_fullband,45ewJ2Sbgdg,45ewJ2Sbgdg.wav
dns5_fullband,465EgaK4qQ8,465EgaK4qQ8.wav
dns5_fullband,46eqIMCjaaw,46eqIMCjaaw.wav
dns5_fullband,47dmD6_k_i4,47dmD6_k_i4.wav
dns5_fullband,49wP_Zmqkyc,49wP_Zmqkyc.wav
dns5_fullband,4G08amtSnq0,4G08amtSnq0.wav
dns5_fullband,4KaDm3tTKKc,4KaDm3tTKKc.wav
dns5_fullband,4LIct6owPeE,4LIct6owPeE.wav
dns5_fullband,4MuSBDcS77I,4MuSBDcS77I.wav
dns5_fullband,4NmyaZIbPvk,4NmyaZIbPvk.wav
dns5_fullband,4SvhGw8JJ4c,4SvhGw8JJ4c.wav
dns5_fullband,4WDYLt1V-GI,4WDYLt1V-GI.wav
dns5_fullband,4_y3VrzTSGw,4_y3VrzTSGw.wav
dns5_fullband,4dEZAYbtAYA,4dEZAYbtAYA.wav
dns5_fullband,4dd51665NE8,4dd51665NE8.wav
dns5_fullband,4fUcrbzG_4s,4fUcrbzG_4s.wav
dns5_fullband,4hMpfbdjIjo,4hMpfbdjIjo.wav
dns5_fullband,4hknKFYv_bU,4hknKFYv_bU.wav
dns5_fullband,4jjmnCOIOoU,4jjmnCOIOoU.wav
dns5_fullband,4leF1RwXFSE,4leF1RwXFSE.wav
dns5_fullband,4uj1kih9etE,4uj1kih9etE.wav
dns5_fullband,51AcYVv76m8,51AcYVv76m8.wav
dns5_fullband,57P7J3drYQc,57P7J3drYQc.wav
dns5_fullband,58PqXuYVn_k,58PqXuYVn_k.wav
dns5_fullband,5AA-fif5mXc,5AA-fif5mXc.wav
dns5_fullband,5ERtrFMNAx8,5ERtrFMNAx8.wav
dns5_fullband,5HEZfkPNBdA,5HEZfkPNBdA.wav
dns5_fullband,5Hrj5pVhcGM,5Hrj5pVhcGM.wav
dns5_fullband,5Hz7Tyyg7Tg,5Hz7Tyyg7Tg.wav
dns5_fullband,5IxlZtup57Y,5IxlZtup57Y.wav
dns5_fullband,5K3CYm2u2zA,5K3CYm2u2zA.wav
dns5_fullband,5LEW_H__nmA,5LEW_H__nmA.wav
dns5_fullband,5Q7ocHjcX8Y,5Q7ocHjcX8Y.wav
dns5_fullband,5RE4Dc2jGvs,5RE4Dc2jGvs.wav
dns5_fullband,5WUF269Y0yE,5WUF269Y0yE.wav
dns5_fullband,5_RYFey-4W8,5_RYFey-4W8.wav
dns5_fullband,5_qsUywEdf8,5_qsUywEdf8.wav
dns5_fullband,5iDR6cOA3ns,5iDR6cOA3ns.wav
dns5_fullband,5nfEE4HwauQ,5nfEE4HwauQ.wav
dns5_fullband,5r9Ixli8hnc,5r9Ixli8hnc.wav
dns5_fullband,5rtH-H5jBRw,5rtH-H5jBRw.wav
dns5_fullband,5tMrPTVllFk,5tMrPTVllFk.wav
dns5_fullband,5uNN4vq8nbA,5uNN4vq8nbA.wav
dns5_fullband,5ug01cGlb2E,5ug01cGlb2E.wav
dns5_fullband,5wqzyY_GSWk,5wqzyY_GSWk.wav
dns5_fullband,5xsGKD_Xjhs,5xsGKD_Xjhs.wav
dns5_fullband,6-6-tccnKLk,6-6-tccnKLk.wav
dns5_fullband,6-Xx2xRgtkM,6-Xx2xRgtkM.wav
dns5_fullband,6FNMs79W0gs,6FNMs79W0gs.wav
dns5_fullband,6PrVODXm67o,6PrVODXm67o.wav
dns5_fullband,6XFsMEqQ15Y,6XFsMEqQ15Y.wav
dns5_fullband,6q58oYVo9as,6q58oYVo9as.wav
dns5_fullband,6s2prszuWS4,6s2prszuWS4.wav
dns5_fullband,6vvM8_RUyMc,6vvM8_RUyMc.wav
dns5_fullband,6wBwUEeTKJs,6wBwUEeTKJs.wav
dns5_fullband,6wHFhrAqt5Q,6wHFhrAqt5Q.wav
dns5_fullband,6y2HuVdxWsw,6y2HuVdxWsw.wav
dns5_fullband,7ICrJTtfY-M,7ICrJTtfY-M.wav
dns5_fullband,7LzcWBu-Y6A,7LzcWBu-Y6A.wav
dns5_fullband,7XJe3vIbPY0,7XJe3vIbPY0.wav
dns5_fullband,7_i8PFUyfIo,7_i8PFUyfIo.wav
dns5_fullband,7au3PJPNUe0,7au3PJPNUe0.wav
dns5_fullband,7eLuA-pfaE4,7eLuA-pfaE4.wav
dns5_fullband,7fag_tv0y20,7fag_tv0y20.wav
dns5_fullband,7gbJf1FvetI,7gbJf1FvetI.wav
dns5_fullband,7p46zniZmQo,7p46zniZmQo.wav
dns5_fullband,84ZEuP39a70,84ZEuP39a70.wav
dns5_fullband,PQEJuXLGXJU,PQEJuXLGXJU.wav
dns5_fullband,QE8QQQ37QBA,QE8QQQ37QBA.wav
fsd50k,fsd50k_254723,254723.wav
fsd50k,fsd50k_365326,365326.wav
fsd50k,fsd50k_51705,51705.wav
fsd50k,fsd50k_157886,157886.wav
fsd50k,fsd50k_129686,129686.wav
fsd50k,fsd50k_360799,360799.wav
fsd50k,fsd50k_163287,163287.wav
fsd50k,fsd50k_347821,347821.wav
fsd50k,fsd50k_326195,326195.wav
fsd50k,fsd50k_370027,370027.wav
fsd50k,fsd50k_90865,90865.wav
fsd50k,fsd50k_1262,1262.wav
fsd50k,fsd50k_327133,327133.wav
fsd50k,fsd50k_366867,366867.wav
fsd50k,fsd50k_407433,407433.wav
fsd50k,fsd50k_434178,434178.wav
fsd50k,fsd50k_419233,419233.wav
fsd50k,fsd50k_408369,408369.wav
fsd50k,fsd50k_325594,325594.wav
fsd50k,fsd50k_325881,325881.wav
freesound,383782,coughing_freesound_383782.wav
freesound,383781,coughing_freesound_383781.wav
freesound,446491,coughing_freesound_446491.wav
freesound,353649,coughing_freesound_353649.wav
freesound,763968,coughing_freesound_763968.wav
freesound,510772,coughing_freesound_510772.wav
freesound,155650,coughing_freesound_155650.wav
freesound,36423,coughing_freesound_36423.wav
freesound,620475,coughing_freesound_620475.wav
freesound,87799,coughing_freesound_87799.wav
freesound,87798,coughing_freesound_87798.wav
freesound,87796,coughing_freesound_87796.wav
freesound,87795,coughing_freesound_87795.wav
freesound,545231,coughing_freesound_545231.wav
freesound,466874,coughing_freesound_466874.wav
freesound,425777,coughing_freesound_425777.wav
freesound,383783,coughing_freesound_383783.wav
freesound,440692,coughing_freesound_440692.wav
freesound,734948,coughing_freesound_734948.wav
freesound,772624,eating_freesound_772624.wav
freesound,330300,eating_freesound_330300.wav
freesound,211403,eating_freesound_211403.wav
freesound,541365,eating_freesound_541365.wav
freesound,592112,impact_freesound_592112.wav
freesound,811301,impact_freesound_811301.wav
freesound,127750,impact_freesound_127750.wav
freesound,201706,impact_freesound_201706.wav
freesound,546821,impact_freesound_546821.wav
freesound,566043,impact_freesound_566043.wav
freesound,540139,impact_freesound_540139.wav
freesound,383270,impact_freesound_383270.wav
freesound,707983,impact_freesound_707983.wav
freesound,735101,impact_freesound_735101.wav
freesound,569131,insects_freesound_569131.wav
freesound,584542,insects_freesound_584542.wav
freesound,761338,keyboard typing_freesound_761338.wav
freesound,761339,keyboard typing_freesound_761339.wav
freesound,468117,keyboard typing_freesound_468117.wav
freesound,210295,keyboard typing_freesound_210295.wav
freesound,805416,keyboard typing_freesound_805416.wav
freesound,335898,keyboard typing_freesound_335898.wav
freesound,204465,keyboard typing_freesound_204465.wav
freesound,455044,keyboard typing_freesound_455044.wav
freesound,734311,keyboard typing_freesound_734311.wav
freesound,809099,keyboard typing_freesound_809099.wav
freesound,246057,keyboard typing_freesound_246057.wav
freesound,424902,keyboard typing_freesound_424902.wav
freesound,363701,keyboard typing_freesound_363701.wav
freesound,214689,keyboard typing_freesound_214689.wav
freesound,326291,keyboard typing_freesound_326291.wav
freesound,467188,keyboard typing_freesound_467188.wav
freesound,452801,keyboard typing_freesound_452801.wav
freesound,699293,keyboard typing_freesound_699293.wav
freesound,145264,office_freesound_145264.wav
freesound,320008,office_freesound_320008.wav
freesound,686812,office_freesound_686812.wav
freesound,668801,office_freesound_668801.wav
freesound,514790,office_freesound_514790.wav
freesound,119840,office_freesound_119840.wav
freesound,153232,office_freesound_153232.wav
freesound,171997,office_freesound_171997.wav
freesound,204355,office_freesound_204355.wav
freesound,434694,office_freesound_434694.wav
freesound,336423,paper rattling_freesound_336423.wav
freesound,657675,paper rattling_freesound_657675.wav
freesound,489610,paper rattling_freesound_489610.wav
freesound,759321,paper rattling_freesound_759321.wav
freesound,521787,paper rattling_freesound_521787.wav
freesound,759318,paper rattling_freesound_759318.wav
freesound,731480,paper rattling_freesound_731480.wav
freesound,367684,paper rattling_freesound_367684.wav
freesound,657673,paper rattling_freesound_657673.wav
freesound,759317,paper rattling_freesound_759317.wav
freesound,685014,paper rattling_freesound_685014.wav
freesound,551317,paper rattling_freesound_551317.wav
freesound,657672,paper rattling_freesound_657672.wav
freesound,181772,paper rattling_freesound_181772.wav
freesound,181771,paper rattling_freesound_181771.wav
freesound,348768,traffic_freesound_348768.wav
freesound,348767,traffic_freesound_348767.wav
freesound,396489,traffic_freesound_396489.wav
freesound,769171,traffic_freesound_769171.wav
freesound,769168,traffic_freesound_769168.wav
freesound,769167,traffic_freesound_769167.wav
freesound,769166,traffic_freesound_769166.wav
freesound,769164,traffic_freesound_769164.wav
freesound,769163,traffic_freesound_769163.wav
freesound,769157,traffic_freesound_769157.wav
freesound,769155,traffic_freesound_769155.wav
freesound,769152,traffic_freesound_769152.wav
freesound,769150,traffic_freesound_769150.wav
freesound,769149,traffic_freesound_769149.wav
freesound,769146,traffic_freesound_769146.wav
freesound,642408,traffic_freesound_642408.wav
freesound,223739,traffic_freesound_223739.wav
freesound,39120,traffic_freesound_39120.wav
freesound,558908,water_freesound_558908.wav
freesound,540787,water_freesound_540787.wav
freesound,565506,water_freesound_565506.wav
freesound,690443,water_freesound_690443.wav
freesound,567967,water_freesound_567967.wav
freesound,570324,wind_freesound_570324.wav
freesound,79873,wind_freesound_79873.wav
freesound,134908,wind_freesound_134908.wav
freesound,533521,wind_freesound_533521.wav
freesound,341333,wind_freesound_341333.wav
freesound,211528,baby_freesound_211528.wav
freesound,154834,baby_freesound_154834.wav
freesound,582341,baby_freesound_582341.wav
freesound,151085,baby_freesound_151085.wav
freesound,571041,baby_freesound_571041.wav
freesound,479839,baby_freesound_479839.wav
freesound,460577,baby_freesound_460577.wav
freesound,568832,baby_freesound_568832.wav
freesound,535893,baby_freesound_535893.wav
freesound,569029,baby_freesound_569029.wav
freesound,361552,clapping_freesound_361552.wav
freesound,361549,clapping_freesound_361549.wav
freesound,478414,clapping_freesound_478414.wav
freesound,777709,clapping_freesound_777709.wav
freesound,361557,clapping_freesound_361557.wav
freesound,480687,clapping_freesound_480687.wav
freesound,480682,clapping_freesound_480682.wav
freesound,467865,clapping_freesound_467865.wav
freesound,453735,clapping_freesound_453735.wav
freesound,453732,clapping_freesound_453732.wav
freesound,453731,clapping_freesound_453731.wav
freesound,453729,clapping_freesound_453729.wav
freesound,480681,clapping_freesound_480681.wav
freesound,806778,clapping_freesound_806778.wav
freesound,806775,clapping_freesound_806775.wav
